Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Urban;2014;46.400002;0.33000001;1696;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Only male adults in the household;2014;35.900002;0.28;616;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Only female adults in the household;2014;53.700001;0.27000001;1088;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Male and female adults in the household;2014;44.900002;0.27000001;3925;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Expenditure quintile 1;2014;49.099998;0.25;884;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Expenditure quintile 2;2014;46.900002;0.25;1222;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Expenditure quintile 3;2014;44.599998;0.27000001;1290;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Expenditure quintile 4;2014;44.400002;0.30000001;1162;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Expenditure quintile 5;2014;42.5;0.31999999;1077;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Small holder farms;2014;48.599998;0.28999999;4187;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Non-small holder farms;2014;41.599998;0.23999999;1432;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Income from agriculture greater than 30%;2014;45.400002;0.27000001;5209;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;Income from agriculture lower than 30%;2014;53.099998;0.36000001;426;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Cameroon;National;2014;45.799999;0.27000001;5635;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Rural;2006;36.5;0.37;4896;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Urban;2006;19;0.34;1228;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Only male adults in the household;2006;41.5;0.40000001;358;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Only female adults in the household;2006;22;0.31999999;644;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Male and female adults in the household;2006;33;0.37;5117;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Expenditure quintile 1;2006;30.6;0.34999999;1805;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Expenditure quintile 2;2006;33.599998;0.37;1437;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Expenditure quintile 3;2006;32.900002;0.37;1225;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Expenditure quintile 4;2006;34.299999;0.38;1039;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Expenditure quintile 5;2006;31.5;0.38999999;618;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Small holder farms;2006;20.299999;0.31999999;4131;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Non-small holder farms;2006;50.099998;0.37;1957;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Income from agriculture greater than 30%;2006;41.5;0.37;3148;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;Income from agriculture lower than 30%;2006;22.799999;0.34;2976;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ecuador;National;2006;32.5;0.37;6124;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Rural;2014;14.7;0.18000001;3081;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Urban;2014;24.200001;0.31999999;419;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only male adults in the household;2014;13.5;0.19;126;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only female adults in the household;2014;14.4;0.20999999;529;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Male and female adults in the household;2014;15.1;0.18000001;2839;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 1;2014;16;0.2;787;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 2;2014;15.2;0.17;694;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 3;2014;13.8;0.17;671;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 4;2014;16.1;0.2;737;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 5;2014;12.8;0.17;611;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Small holder farms;2014;16.6;0.22;2646;14.95;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Non-small holder farms;2014;13.3;0.15000001;804;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2014;14.6;0.17;2701;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2014;16.6;0.25;799;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;National;2014;14.9;0.18000001;3500;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Rural;2016;20.700001;0.23;3120;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Urban;2016;15;0.25999999;416;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only male adults in the household;2016;17.799999;0.25999999;123;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only female adults in the household;2016;16.200001;0.22;547;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Male and female adults in the household;2016;21;0.23;2865;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 1;2016;23.5;0.25;825;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 2;2016;21;0.23;745;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 3;2016;18.299999;0.22;724;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 4;2016;19.6;0.20999999;643;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 5;2016;15.5;0.18000001;413;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Small holder farms;2016;21.299999;0.25;2632;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Non-small holder farms;2016;19.299999;0.2;775;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2016;20.700001;0.22;2717;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2016;18.299999;0.25999999;819;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;National;2016;20.299999;0.23;3536;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Rural;2019;18.200001;0.23;2558;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only male adults in the household;2019;19.6;0.28;87;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Only female adults in the household;2019;15.5;0.23;374;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Male and female adults in the household;2019;18.6;0.23;2093;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 1;2019;17.200001;0.23;690;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 2;2019;17.6;0.23;617;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 3;2019;17.1;0.22;533;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 4;2019;20;0.25;408;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Expenditure quintile 5;2019;22.6;0.25;310;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Small holder farms;2019;19.9;0.25;1902;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Non-small holder farms;2019;16.4;0.20999999;604;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture greater than 30%;2019;18.200001;0.23;2254;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;Income from agriculture lower than 30%;2019;18.6;0.25999999;304;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Ethiopia;National;2019;18.200001;0.23;2558;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Rural;2011;27.6;0.31;4259;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Urban;2011;28.1;0.37;1109;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Only male adults in the household;2011;38.799999;0.34999999;153;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Only female adults in the household;2011;19.6;0.31999999;385;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Male and female adults in the household;2011;28;0.31999999;4828;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 1;2011;25.200001;0.30000001;1695;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 2;2011;26.4;0.31999999;1439;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 3;2011;28.299999;0.33000001;1084;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 4;2011;31.700001;0.34999999;717;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 5;2011;36.5;0.38;433;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Small holder farms;2011;18.200001;0.30000001;4057;29.3999995;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Non-small holder farms;2011;40.599998;0.31;1311;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Income from agriculture greater than 30%;2011;32.700001;0.31999999;3059;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Income from agriculture lower than 30%;2011;20.6;0.31999999;2309;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;National;2011;27.700001;0.31999999;5368;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Rural;2014;20.5;0.30000001;3171;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Urban;2014;19.799999;0.31999999;872;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Only male adults in the household;2014;39.700001;0.41;114;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Only female adults in the household;2014;18;0.31;170;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Male and female adults in the household;2014;19.799999;0.30000001;3759;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 1;2014;16.5;0.28;1353;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 2;2014;18.9;0.28999999;1073;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 3;2014;22.4;0.31;795;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 4;2014;24.799999;0.33000001;567;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Expenditure quintile 5;2014;36.700001;0.38999999;255;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Small holder farms;2014;19.5;0.31;3141;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Non-small holder farms;2014;21.799999;0.28999999;902;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Income from agriculture greater than 30%;2014;21.6;0.30000001;2417;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;Income from agriculture lower than 30%;2014;18.299999;0.30000001;1626;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Guatemala;National;2014;20.299999;0.30000001;4043;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Rural;2007;63.799999;0.31;3048;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Urban;2007;55;0.36000001;559;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Only female adults in the household;2007;65.5;0.38999999;69;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Male and female adults in the household;2007;62.400002;0.31999999;3522;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 1;2007;65.400002;0.31999999;1290;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 2;2007;64.300003;0.31;786;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 3;2007;60.900002;0.31999999;624;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 4;2007;59.700001;0.31;517;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 5;2007;56.400002;0.36000001;390;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Small holder farms;2007;56.599998;0.34999999;2706;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Non-small holder farms;2007;69.599998;0.25999999;862;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Income from agriculture greater than 30%;2007;67.699997;0.28;1857;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Income from agriculture lower than 30%;2007;55.5;0.34999999;1750;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;National;2007;62.5;0.31999999;3607;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Rural;2012;61.5;0.33000001;4075;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Urban;2012;52.200001;0.37;913;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Only female adults in the household;2012;43;0.34999999;97;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Male and female adults in the household;2012;59.799999;0.34;4879;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 1;2012;65.599998;0.33000001;1492;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 2;2012;56.299999;0.34;1039;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 3;2012;57.599998;0.34;971;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 4;2012;61.799999;0.34;799;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Expenditure quintile 5;2012;53.400002;0.34999999;687;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Small holder farms;2012;59;0.36000001;3862;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Non-small holder farms;2012;60.599998;0.31;1021;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Income from agriculture greater than 30%;2012;64.099998;0.31;2140;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;Income from agriculture lower than 30%;2012;56.599998;0.36000001;2848;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Iraq;National;2012;59.599998;0.34;4988;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Rural;2005;23.700001;0.28;7538;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Urban;2005;19.4;0.28999999;1374;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Only male adults in the household;2005;28.200001;0.31999999;489;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Only female adults in the household;2005;17;0.25;1412;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Male and female adults in the household;2005;24.5;0.28999999;7007;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Expenditure quintile 1;2005;17;0.25;2307;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Expenditure quintile 2;2005;21.700001;0.25999999;2120;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Expenditure quintile 3;2005;25.299999;0.28999999;1949;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Expenditure quintile 4;2005;28.1;0.30000001;1532;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Expenditure quintile 5;2005;32.099998;0.31999999;1003;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Small holder farms;2005;19;0.27000001;5854;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Non-small holder farms;2005;27.9;0.28999999;2887;;
Value of agricultural production sold at the market, share of total value of agricultural production (%);Household level;Kenya;Income from agriculture greater than 30%;2005;25.200001;0.28999999;6240;;
