Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","20104202","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","23224282","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","24923680","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","25755850","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","22180632","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","21454457","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","22440844","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","22700520","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","23598008","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","22580994","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","21843800","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","7393974","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","7571450","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","7945634","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","8543598","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","6046049","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","5947224","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","4572794","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","4402925","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","3413491","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","2478118","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","1694691","E","Estimated value"
"QV","Value of Agricultural Production","024","Angola","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","1628118","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","20531","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","20856","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","20985","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","21155","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","29262","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","28266","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","19793","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","20717","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","20058","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","20800","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","21406","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","21885","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","21513","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","19187","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","17025","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","14979","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","14577","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","16735","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","29418764","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","34763344","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","37507795","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","48859498","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","56628281","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","46618722","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","50099957","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","58673768","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","59675525","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","62959253","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","56077347","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","63291361","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","54693346","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","51771895","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","40840482","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","36999070","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","28462701","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","25169234","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","656980","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","763539","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","1039248","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","1459757","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","1689818","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","1226160","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","1478479","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","1884143","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","1720427","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","1857499","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","1966677","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","1659444","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","1525289","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","1519267","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","1531346","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","1484566","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","1448319","E","Estimated value"
"QV","Value of Agricultural Production","051","Armenia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","1544479","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","25349486","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","26053291","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","26720416","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","26916223","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","31251288","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","29933278","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","33445474","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","46056237","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","49506705","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","45473334","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","43247856","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","34818809","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","35661871","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","40740244","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","40114856","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","34399060","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","36560660","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","50656934","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","5187183","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","5018420","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","5445363","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","6909314","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","7641455","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","6347234","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","6491835","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","7687236","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","7262241","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","7372344","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","7257740","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","5823454","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","5880547","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","6357501","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","7022829","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","6389298","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","6750090","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","7716519","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","1258843","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","1575889","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","2294932","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","3095958","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","3763713","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","4317550","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","4963219","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","5248313","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","5490401","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","5998424","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","5693378","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","4659097","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","2999944","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","3213245","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","3471513","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","3899812","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","4218892","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","4628167","E","Estimated value"
"QV","Value of Agricultural Production","048","Bahrain","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","53985","E","Estimated value"
"QV","Value of Agricultural Production","048","Bahrain","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","49724","E","Estimated value"
"QV","Value of Agricultural Production","048","Bahrain","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","66587","E","Estimated value"
"QV","Value of Agricultural Production","048","Bahrain","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","66307","E","Estimated value"
"QV","Value of Agricultural Production","048","Bahrain","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","71664","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","8324062","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","9297322","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","10143153","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","11985988","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2008","2008","1000 USD","14547201","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2009","2009","1000 USD","14380268","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2010","2010","1000 USD","15529878","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2011","2011","1000 USD","17595654","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2012","2012","1000 USD","18341307","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2013","2013","1000 USD","21943233","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2014","2014","1000 USD","22945086","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2015","2015","1000 USD","23534504","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2016","2016","1000 USD","23993196","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2017","2017","1000 USD","28072726","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2018","2018","1000 USD","29111179","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2019","2019","1000 USD","25723895","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2020","2020","1000 USD","29398212","E","Estimated value"
"QV","Value of Agricultural Production","050","Bangladesh","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2021","2021","1000 USD","36096774","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2004","2004","1000 USD","103398","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2005","2005","1000 USD","112127","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2006","2006","1000 USD","119148","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","57","Gross Production Value (current thousand US$)","F2051","Agriculture","2007","2007","1000 USD","123959","E","Estimated value"
